k1             a1             c1             k2             a2             c2             k3             a3             c3             gamma1         gamma2         LogPost        b1             b2             b3             
   0.184423E+00   0.412357E+01     0.1521E+01    0.33851E+00   0.123336E+02   0.165472E+01   0.913989E+00    0.15395E+02    0.16701E+01   0.112241E-01   0.259379E-01   0.697235E+02   0.184423E+00   0.246072E+00   0.913989E+00
   0.188528E+00   0.445601E+01   0.151356E+01    0.32919E+00   0.114874E+02   0.166992E+01   0.892876E+00   0.199542E+02   0.167973E+01   0.155503E-01   0.284952E-01   0.614675E+02   0.188528E+00   0.233326E+00   0.892876E+00
   0.169898E+00   0.371544E+01   0.155752E+01   0.331162E+00    0.11587E+02   0.166874E+01   0.867498E+00   0.116702E+02   0.172668E+01   0.241784E-02   0.360836E-01   0.655859E+02   0.169898E+00   0.239045E+00   0.867498E+00
   0.176297E+00   0.365567E+01   0.150085E+01    0.33123E+00    0.11557E+02   0.167523E+01   0.904414E+00    0.16812E+02   0.168748E+01   0.888651E-02   0.467707E-01   0.680177E+02   0.176297E+00   0.236595E+00   0.904414E+00
   0.170392E+00   0.336045E+01    0.15391E+01   0.314816E+00   0.112104E+02   0.166987E+01   0.961034E+00   0.912104E+01   0.166554E+01   0.110777E-02   0.716546E-01   0.700132E+02   0.170392E+00   0.233136E+00   0.961034E+00
   0.169051E+00   0.294933E+01   0.148558E+01   0.322412E+00   0.119701E+02   0.163806E+01   0.900862E+00   0.176287E+02   0.168853E+01   0.242545E-02   0.618043E-01   0.700134E+02   0.169051E+00   0.244768E+00   0.900862E+00
   0.163729E+00   0.295132E+01    0.15103E+01   0.322814E+00   0.120262E+02   0.167041E+01   0.838223E+00   0.100734E+02   0.162998E+01   0.633415E-02    0.43967E-01   0.672305E+02   0.163729E+00   0.240984E+00   0.838223E+00
   0.175368E+00   0.347066E+01   0.151739E+01   0.328583E+00   0.122148E+02   0.164528E+01   0.967749E+00   0.204725E+02   0.163627E+01   0.726535E-02   0.302844E-01   0.667871E+02   0.175368E+00   0.246078E+00   0.967749E+00
   0.177149E+00   0.356903E+01   0.149844E+01   0.327441E+00   0.120293E+02   0.167859E+01   0.901609E+00   0.939036E+01   0.168033E+01   0.404172E-02   0.402883E-01   0.703834E+02   0.177149E+00    0.23813E+00   0.901609E+00
   0.169022E+00   0.322783E+01   0.151585E+01   0.319937E+00   0.115258E+02   0.168475E+01   0.879098E+00   0.230339E+02     0.1637E+01   0.739215E-02   0.586845E-01   0.646647E+02   0.169022E+00   0.234239E+00   0.879098E+00
   0.173531E+00     0.3217E+01   0.148374E+01   0.323245E+00   0.120009E+02   0.166382E+01   0.922156E+00   0.141559E+02   0.165335E+01   0.266901E-02   0.418935E-01   0.707018E+02   0.173531E+00   0.239899E+00   0.922156E+00
   0.163581E+00    0.28021E+01   0.151369E+01   0.309521E+00   0.112326E+02   0.170911E+01   0.100532E+01   0.974237E+01   0.168082E+01   0.380729E-02   0.700144E-01   0.667902E+02   0.163581E+00    0.22881E+00   0.100532E+01
   0.168163E+00   0.348966E+01   0.154189E+01   0.317941E+00   0.106066E+02    0.16545E+01   0.923848E+00   0.157621E+02   0.164839E+01    0.15136E-02   0.649767E-01   0.681056E+02   0.168163E+00   0.230892E+00   0.923848E+00
   0.178751E+00   0.343126E+01   0.145576E+01   0.339467E+00   0.121634E+02   0.163471E+01   0.909682E+00   0.106319E+02    0.16375E+01   0.415933E-02   0.698277E-01    0.65938E+02   0.178751E+00   0.248944E+00   0.909682E+00
   0.173671E+00   0.374182E+01   0.153286E+01   0.337533E+00   0.125011E+02   0.166566E+01   0.950401E+00   0.154613E+02    0.16524E+01   0.531328E-02   0.316023E-01   0.717944E+02   0.173671E+00   0.245785E+00   0.950401E+00
   0.177963E+00   0.374739E+01   0.152742E+01   0.333237E+00   0.115278E+02   0.160718E+01   0.983782E+00   0.133504E+02   0.165686E+01   0.845422E-02   0.264979E-01   0.668663E+02   0.177963E+00   0.248593E+00   0.983782E+00
   0.164317E+00   0.325681E+01   0.153686E+01   0.330583E+00   0.124754E+02   0.167436E+01   0.867837E+00   0.115074E+02    0.16495E+01   0.495979E-03   0.554252E-01   0.679113E+02   0.164317E+00   0.244197E+00   0.867837E+00
   0.166958E+00   0.327249E+01   0.154165E+01   0.316593E+00   0.110829E+02   0.162688E+01   0.995012E+00   0.162473E+02   0.168367E+01   0.140191E-02   0.528263E-01   0.685467E+02   0.166958E+00     0.2385E+00   0.995012E+00
   0.163435E+00   0.292344E+01   0.150323E+01    0.31563E+00   0.123735E+02    0.17345E+01   0.864238E+00    0.17012E+02   0.167159E+01   0.138523E-02   0.748371E-01   0.662538E+02   0.163435E+00   0.230485E+00   0.864238E+00
   0.169796E+00   0.306225E+01   0.149635E+01   0.315757E+00    0.11816E+02   0.169649E+01    0.88304E+00   0.158619E+02   0.168166E+01   0.200429E-02   0.600759E-01   0.718678E+02   0.169796E+00   0.233123E+00    0.88304E+00
   0.178228E+00   0.358403E+01   0.148937E+01   0.333499E+00   0.127027E+02   0.171403E+01    0.82047E+00   0.122347E+02   0.169683E+01   0.566965E-02   0.447111E-01   0.677273E+02   0.178228E+00   0.238763E+00    0.82047E+00
   0.182683E+00   0.419247E+01   0.153589E+01   0.337953E+00   0.126078E+02   0.170459E+01   0.865254E+00   0.180484E+02   0.168139E+01   0.511433E-02   0.194657E-01   0.680738E+02   0.182683E+00   0.240088E+00   0.865254E+00
   0.174998E+00   0.345508E+01   0.150504E+01   0.325024E+00   0.120333E+02   0.171182E+01   0.968144E+00   0.143557E+02   0.162682E+01   0.697762E-02   0.308675E-01   0.680437E+02   0.174998E+00   0.234012E+00   0.968144E+00
   0.162219E+00   0.271972E+01   0.150101E+01   0.305318E+00   0.113757E+02   0.171368E+01   0.883155E+00   0.145696E+02   0.162522E+01   0.313625E-03    0.52078E-01   0.676631E+02   0.162219E+00    0.22629E+00   0.883155E+00
    0.16208E+00   0.280186E+01   0.151056E+01   0.310909E+00   0.124518E+02   0.172626E+01   0.942919E+00    0.15811E+02   0.172009E+01    0.14588E-02   0.715962E-01   0.661449E+02    0.16208E+00   0.231328E+00   0.942919E+00
   0.164806E+00   0.339277E+01    0.15503E+01   0.331898E+00   0.127714E+02   0.167576E+01   0.928712E+00   0.772727E+01   0.170568E+01   0.248332E-02     0.5474E-01   0.672665E+02   0.164806E+00   0.245282E+00   0.928712E+00
    0.17677E+00   0.342431E+01   0.149719E+01   0.331246E+00   0.120716E+02   0.164808E+01   0.885539E+00   0.137039E+02   0.164943E+01   0.448438E-02    0.49436E-01   0.706016E+02    0.17677E+00   0.245916E+00   0.885539E+00
    0.16894E+00   0.314013E+01   0.150911E+01   0.320387E+00   0.116046E+02   0.165514E+01   0.875793E+00   0.160908E+02   0.165852E+01    0.10291E-02    0.70953E-01   0.719787E+02    0.16894E+00   0.239179E+00   0.875793E+00
   0.173159E+00   0.306515E+01   0.149433E+01   0.315841E+00   0.119631E+02   0.167532E+01   0.879675E+00    0.14893E+02   0.166608E+01   0.358205E-02   0.381785E-01   0.696621E+02   0.173159E+00   0.237728E+00   0.879675E+00
   0.177372E+00   0.394613E+01   0.151958E+01   0.337395E+00   0.119332E+02   0.164631E+01   0.906397E+00    0.10636E+02   0.164348E+01   0.644624E-02   0.530774E-01   0.684982E+02   0.177372E+00   0.243309E+00   0.906397E+00
   0.170771E+00   0.333445E+01   0.151352E+01   0.319119E+00   0.114049E+02   0.166204E+01   0.932567E+00   0.217403E+02   0.165113E+01   0.153291E-02     0.7838E-01   0.680504E+02   0.170771E+00   0.235172E+00   0.932567E+00
   0.170869E+00   0.325564E+01   0.150389E+01    0.33397E+00   0.122279E+02   0.163905E+01   0.936842E+00   0.181264E+02   0.168482E+01   0.425467E-03   0.620238E-01   0.694136E+02   0.170869E+00   0.249489E+00   0.936842E+00
   0.171768E+00   0.322491E+01   0.151051E+01   0.315676E+00   0.112058E+02   0.169061E+01   0.856737E+00   0.821298E+01   0.165357E+01   0.677706E-02   0.465345E-01   0.677939E+02   0.171768E+00   0.230988E+00   0.856737E+00
   0.174601E+00   0.299492E+01   0.144075E+01   0.336863E+00   0.124612E+02   0.164374E+01    0.92402E+00   0.123348E+02   0.166864E+01   0.378123E-02   0.567197E-01   0.661586E+02   0.174601E+00    0.25154E+00    0.92402E+00
   0.172019E+00   0.356861E+01   0.152616E+01   0.331777E+00   0.121576E+02   0.167788E+01   0.929869E+00   0.163509E+02   0.166284E+01    0.10522E-01   0.253921E-01   0.690459E+02   0.172019E+00   0.240951E+00   0.929869E+00
   0.184692E+00    0.43757E+01   0.152657E+01   0.342744E+00    0.13077E+02   0.171233E+01   0.839123E+00     0.1556E+02   0.165794E+01   0.626895E-02   0.650307E-01   0.646565E+02   0.184692E+00   0.240875E+00   0.839123E+00
   0.176447E+00   0.326181E+01   0.146672E+01   0.338464E+00   0.134138E+02   0.168322E+01   0.997667E+00    0.93817E+01   0.162027E+01   0.205053E-02   0.718701E-01   0.649503E+02   0.176447E+00   0.250075E+00   0.997667E+00
   0.169445E+00   0.289957E+01   0.147431E+01   0.328112E+00   0.126166E+02   0.169437E+01   0.982391E+00   0.152229E+02    0.16785E+01   0.252644E-02   0.767927E-01    0.66951E+02   0.169445E+00   0.243502E+00   0.982391E+00
   0.173766E+00   0.333435E+01   0.147218E+01   0.336617E+00   0.123162E+02   0.164378E+01   0.891757E+00    0.11123E+02   0.168049E+01   0.434971E-02   0.233513E-01   0.671813E+02   0.173766E+00   0.247727E+00   0.891757E+00
   0.172556E+00   0.306816E+01   0.150366E+01   0.317803E+00   0.117536E+02   0.164379E+01   0.899634E+00   0.119087E+02   0.168887E+01   0.165888E-02   0.497681E-01   0.679955E+02   0.172556E+00   0.242175E+00   0.899634E+00
   0.176579E+00   0.364785E+01   0.156425E+01   0.317596E+00   0.115402E+02   0.169543E+01    0.90415E+00   0.129567E+02   0.169557E+01   0.410042E-02    0.65419E-01   0.627017E+02   0.176579E+00   0.234403E+00    0.90415E+00
   0.184739E+00   0.443702E+01     0.1532E+01   0.342962E+00   0.124484E+02   0.169575E+01   0.852447E+00   0.151651E+02   0.166715E+01   0.131173E-01   0.151801E-01   0.664735E+02   0.184739E+00   0.240067E+00   0.852447E+00
   0.172403E+00   0.313885E+01   0.148619E+01   0.326365E+00   0.116579E+02   0.166587E+01   0.886025E+00   0.178137E+02   0.173764E+01   0.250073E-02   0.545607E-01   0.671051E+02   0.172403E+00   0.240664E+00   0.886025E+00
   0.170948E+00   0.322982E+01   0.151976E+01   0.318011E+00   0.116732E+02   0.169637E+01   0.977569E+00   0.171962E+02   0.166927E+01   0.289241E-02   0.709598E-01   0.700266E+02   0.170948E+00   0.233826E+00   0.977569E+00
   0.177509E+00   0.398263E+01   0.151462E+01     0.3428E+00   0.117183E+02   0.165428E+01   0.901178E+00   0.143116E+02   0.167543E+01   0.311674E-02   0.750116E-01   0.671354E+02   0.177509E+00   0.242587E+00   0.901178E+00
   0.175187E+00   0.372196E+01   0.153908E+01   0.338938E+00   0.124955E+02   0.167156E+01    0.99411E+00   0.172285E+02   0.164627E+01   0.332396E-02   0.591649E-01   0.686817E+02   0.175187E+00   0.247358E+00    0.99411E+00
   0.170682E+00   0.355766E+01    0.15223E+01    0.33612E+00   0.121201E+02    0.16361E+01   0.937762E+00   0.168442E+02   0.169868E+01    0.14985E-02   0.423353E-01   0.677562E+02   0.170682E+00   0.247484E+00   0.937762E+00
   0.164016E+00    0.29236E+01   0.153777E+01   0.310096E+00   0.121081E+02   0.168974E+01   0.813181E+00   0.132751E+02   0.166597E+01    0.88508E-03    0.76735E-01    0.68269E+02   0.164016E+00   0.235195E+00   0.813181E+00
   0.170199E+00   0.363496E+01   0.155605E+01   0.328327E+00   0.124128E+02   0.171958E+01     0.9271E+00   0.124349E+02   0.164036E+01   0.111651E-01   0.229192E-01    0.64813E+02   0.170199E+00   0.236068E+00     0.9271E+00
   0.166219E+00   0.317743E+01   0.150912E+01    0.32189E+00   0.116907E+02   0.171926E+01   0.918322E+00   0.117468E+02   0.167663E+01   0.374149E-02   0.568754E-01    0.67893E+02   0.166219E+00   0.230296E+00   0.918322E+00
   0.167543E+00   0.325274E+01   0.154561E+01   0.318227E+00   0.121012E+02   0.172481E+01   0.985882E+00   0.176696E+02   0.167382E+01   0.761289E-02    0.23524E-01   0.652531E+02   0.167543E+00   0.232591E+00   0.985882E+00
   0.166014E+00   0.310319E+01    0.15212E+01     0.3207E+00   0.121736E+02    0.16494E+01    0.90477E+00   0.137671E+02   0.165481E+01   0.430131E-02   0.426827E-01   0.687421E+02   0.166014E+00   0.242618E+00    0.90477E+00
   0.169504E+00   0.304631E+01   0.149842E+01   0.315311E+00   0.119007E+02   0.170042E+01    0.96284E+00   0.147725E+02   0.168629E+01   0.293468E-03   0.742828E-01   0.712237E+02   0.169504E+00    0.23307E+00    0.96284E+00
   0.181461E+00    0.33035E+01   0.145452E+01   0.320702E+00   0.120227E+02   0.168632E+01   0.851489E+00   0.701458E+01   0.164004E+01   0.326043E-02   0.610794E-01   0.631462E+02   0.181461E+00   0.235829E+00   0.851489E+00
   0.170322E+00   0.349645E+01   0.155529E+01   0.321609E+00   0.115307E+02   0.166852E+01    0.89806E+00   0.114785E+02   0.168037E+01   0.132486E-02   0.398713E-01   0.691167E+02   0.170322E+00   0.237495E+00    0.89806E+00
   0.165068E+00   0.307575E+01   0.153728E+01   0.318784E+00   0.117926E+02   0.167599E+01   0.908539E+00   0.156072E+02    0.16787E+01    0.12061E-02   0.483251E-01   0.723263E+02   0.165068E+00   0.238287E+00   0.908539E+00
   0.167552E+00   0.330482E+01    0.15254E+01   0.335134E+00   0.132553E+02   0.166968E+01   0.894964E+00   0.157993E+02   0.167686E+01   0.218082E-02   0.382479E-01   0.693698E+02   0.167552E+00   0.250027E+00   0.894964E+00
   0.167806E+00   0.303502E+01   0.152265E+01   0.311499E+00   0.116269E+02   0.172524E+01   0.102754E+01   0.117211E+02    0.16906E+01   0.179296E-02   0.654337E-01   0.677331E+02   0.167806E+00   0.228651E+00   0.102754E+01
   0.165089E+00   0.293168E+01   0.150828E+01   0.319397E+00   0.114102E+02   0.170221E+01   0.870442E+00   0.135891E+02   0.165392E+01   0.196005E-02   0.625561E-01   0.689105E+02   0.165089E+00   0.233467E+00   0.870442E+00
   0.170947E+00   0.289605E+01   0.148233E+01   0.315808E+00   0.115765E+02   0.167607E+01   0.939816E+00   0.162389E+02   0.166366E+01   0.307906E-03   0.954099E-01   0.680051E+02   0.170947E+00   0.236575E+00   0.939816E+00
   0.167438E+00   0.297055E+01   0.150382E+01   0.310356E+00    0.11418E+02   0.172773E+01   0.914144E+00   0.137041E+02   0.168103E+01   0.209939E-02   0.453203E-01   0.696285E+02   0.167438E+00   0.225996E+00   0.914144E+00
   0.170892E+00   0.332271E+01   0.150751E+01   0.321973E+00   0.115701E+02   0.169156E+01   0.977232E+00   0.137739E+02   0.168602E+01   0.377251E-02   0.600826E-01   0.702281E+02   0.170892E+00   0.233218E+00   0.977232E+00
   0.175379E+00   0.373044E+01   0.151712E+01   0.338394E+00   0.128868E+02   0.168406E+01   0.984714E+00   0.161589E+02   0.164588E+01   0.473364E-02   0.328842E-01   0.705446E+02   0.175379E+00   0.244934E+00   0.984714E+00
   0.174969E+00   0.350624E+01   0.150396E+01   0.335065E+00   0.120866E+02   0.165417E+01   0.801543E+00    0.15434E+02   0.168681E+01   0.521772E-02   0.473052E-01   0.690765E+02   0.174969E+00   0.245587E+00   0.801543E+00
   0.172066E+00    0.35593E+01   0.153425E+01   0.341226E+00   0.129231E+02   0.168157E+01   0.898193E+00   0.117445E+02   0.165882E+01   0.540902E-02   0.535476E-01   0.685718E+02   0.172066E+00   0.249417E+00   0.898193E+00
   0.174413E+00   0.348124E+01   0.150921E+01   0.334837E+00   0.131049E+02   0.165885E+01   0.915348E+00   0.201148E+02   0.165973E+01   0.285323E-02   0.531613E-01   0.701025E+02   0.174413E+00   0.249741E+00   0.915348E+00
    0.17476E+00   0.340846E+01   0.151107E+01   0.322998E+00   0.118658E+02   0.164853E+01   0.942902E+00   0.142285E+02   0.166211E+01   0.477412E-02   0.295903E-01   0.697394E+02    0.17476E+00    0.24144E+00   0.942902E+00
   0.162641E+00   0.283119E+01   0.153439E+01    0.31122E+00   0.116869E+02   0.165666E+01   0.944696E+00   0.941222E+01   0.169981E+01   0.104415E-03   0.748424E-01   0.703944E+02   0.162641E+00   0.238542E+00   0.944696E+00
   0.160474E+00   0.293206E+01   0.155088E+01   0.314126E+00   0.116395E+02    0.17125E+01    0.92948E+00    0.10592E+02   0.168568E+01   0.720523E-02   0.348284E-01   0.655307E+02   0.160474E+00   0.232153E+00    0.92948E+00
   0.181444E+00   0.381196E+01   0.148472E+01   0.338076E+00    0.13186E+02   0.170385E+01   0.954597E+00   0.116169E+02   0.162784E+01   0.277759E-02   0.664505E-01   0.648156E+02   0.181444E+00   0.242112E+00   0.954597E+00
   0.170433E+00   0.313057E+01   0.150946E+01   0.322519E+00   0.117505E+02   0.166384E+01   0.922901E+00   0.140476E+02    0.16819E+01   0.444884E-02   0.421718E-01   0.714729E+02   0.170433E+00   0.240722E+00   0.922901E+00
    0.16556E+00   0.315447E+01   0.151724E+01    0.33445E+00   0.128269E+02   0.166403E+01   0.908933E+00   0.102149E+02   0.163936E+01   0.788788E-02   0.224445E-01   0.666263E+02    0.16556E+00   0.249406E+00   0.908933E+00
   0.172927E+00   0.346003E+01   0.154351E+01   0.321943E+00   0.116957E+02   0.165666E+01   0.936836E+00   0.927565E+01   0.164762E+01   0.450082E-02    0.47596E-01   0.692862E+02   0.172927E+00   0.240582E+00   0.936836E+00
   0.176231E+00   0.368646E+01   0.151071E+01   0.338079E+00   0.120971E+02   0.167229E+01   0.977574E+00    0.17653E+02    0.16213E+01   0.569049E-02     0.2651E-01   0.689037E+02   0.176231E+00   0.243254E+00   0.977574E+00
   0.170672E+00   0.365305E+01   0.154355E+01   0.337732E+00   0.112374E+02   0.166258E+01   0.981782E+00   0.108044E+02   0.169251E+01   0.482453E-03   0.912085E-01   0.641825E+02   0.170672E+00   0.241131E+00   0.981782E+00
   0.173049E+00   0.334568E+01   0.151644E+01   0.326022E+00   0.122577E+02   0.168023E+01   0.877931E+00   0.135904E+02   0.168398E+01   0.119003E-02   0.484194E-01   0.699161E+02   0.173049E+00   0.241207E+00   0.877931E+00
   0.172461E+00   0.305107E+01   0.148199E+01   0.318988E+00   0.111242E+02   0.167709E+01   0.974356E+00   0.128312E+02   0.166883E+01   0.375707E-02   0.627672E-01   0.691866E+02   0.172461E+00   0.234274E+00   0.974356E+00
   0.174131E+00   0.395709E+01   0.154679E+01   0.335933E+00   0.114351E+02   0.165629E+01   0.100922E+01   0.116285E+02   0.166591E+01   0.500872E-02   0.280116E-01   0.671598E+02   0.174131E+00   0.239765E+00   0.100922E+01
   0.177462E+00   0.413494E+01   0.155625E+01   0.340695E+00   0.130095E+02   0.166819E+01    0.86694E+00   0.142338E+02   0.166725E+01   0.988969E-02   0.217011E-01   0.675948E+02   0.177462E+00   0.247963E+00    0.86694E+00
   0.189625E+00    0.38373E+01   0.146189E+01   0.341811E+00   0.122239E+02   0.164591E+01   0.809017E+00   0.158403E+02   0.168185E+01   0.760897E-02   0.579816E-01   0.626478E+02   0.189625E+00   0.248899E+00   0.809017E+00
   0.178702E+00   0.392502E+01   0.154187E+01    0.31692E+00   0.104355E+02    0.16679E+01   0.897854E+00    0.17444E+02   0.165419E+01    0.36638E-02   0.631531E-01   0.654575E+02   0.178702E+00   0.227613E+00   0.897854E+00
   0.183463E+00   0.400246E+01   0.150777E+01   0.339459E+00   0.123675E+02   0.166831E+01    0.92828E+00   0.923065E+01    0.16532E+01   0.898349E-02   0.528242E-01   0.685499E+02   0.183463E+00   0.244601E+00    0.92828E+00
    0.17774E+00   0.369009E+01    0.15128E+01   0.324646E+00   0.117153E+02   0.166876E+01   0.834393E+00   0.162382E+02   0.162865E+01   0.448577E-02   0.362337E-01   0.671423E+02    0.17774E+00   0.236697E+00   0.834393E+00
   0.173374E+00   0.351871E+01   0.151967E+01    0.32351E+00    0.11935E+02   0.166631E+01   0.905749E+00   0.187045E+02   0.163718E+01   0.424627E-02   0.460713E-01   0.689032E+02   0.173374E+00   0.238273E+00   0.905749E+00
   0.168184E+00   0.329071E+01   0.152949E+01   0.327888E+00   0.124236E+02   0.165957E+01   0.854549E+00   0.150922E+02   0.169408E+01   0.979267E-03   0.486939E-01   0.703935E+02   0.168184E+00   0.245073E+00   0.854549E+00
   0.166491E+00   0.325897E+01   0.152502E+01   0.322995E+00    0.12004E+02   0.168314E+01   0.921128E+00   0.127055E+02   0.168554E+01   0.228262E-02   0.560269E-01   0.709354E+02   0.166491E+00   0.237138E+00   0.921128E+00
   0.164839E+00   0.292487E+01   0.151005E+01   0.307728E+00   0.113132E+02   0.169901E+01   0.988992E+00   0.145517E+02   0.165426E+01   0.186528E-02   0.661259E-01   0.697063E+02   0.164839E+00   0.227707E+00   0.988992E+00
   0.161779E+00   0.296891E+01   0.153577E+01   0.314816E+00   0.117261E+02   0.165758E+01     0.9632E+00    0.71065E+01   0.165096E+01   0.298583E-03   0.728356E-01   0.693408E+02   0.161779E+00   0.238114E+00     0.9632E+00
   0.164251E+00   0.282956E+01   0.151791E+01   0.305459E+00     0.1036E+02   0.164571E+01   0.101751E+01   0.479394E+01   0.166254E+01   0.110634E-02   0.728523E-01   0.662688E+02   0.164251E+00   0.230747E+00   0.101751E+01
   0.163344E+00   0.271956E+01   0.148893E+01   0.315077E+00   0.121065E+02   0.170439E+01   0.873905E+00   0.185041E+02   0.168794E+01   0.173662E-02   0.469978E-01   0.692678E+02   0.163344E+00    0.23489E+00   0.873905E+00
   0.163629E+00    0.29207E+01   0.152847E+01   0.321731E+00    0.12291E+02   0.166618E+01   0.905262E+00    0.95945E+01    0.16398E+01   0.427142E-03   0.644787E-01   0.704853E+02   0.163629E+00   0.244003E+00   0.905262E+00
   0.167926E+00    0.29215E+01   0.148744E+01   0.307688E+00   0.108764E+02   0.170961E+01   0.846372E+00   0.109832E+02   0.166691E+01   0.249533E-04   0.834818E-01   0.690368E+02   0.167926E+00   0.224026E+00   0.846372E+00
   0.172724E+00   0.348209E+01   0.155131E+01   0.304543E+00   0.999022E+01   0.167388E+01   0.940344E+00   0.811631E+01   0.167395E+01   0.203596E-02   0.112709E+00    0.60808E+02   0.172724E+00   0.223081E+00   0.940344E+00
   0.169429E+00   0.332689E+01   0.154137E+01   0.318778E+00    0.11188E+02   0.166753E+01   0.968506E+00   0.148346E+02    0.16719E+01   0.889596E-03   0.460135E-01   0.696417E+02   0.169429E+00   0.235446E+00   0.968506E+00
   0.169841E+00   0.364083E+01   0.157481E+01   0.326942E+00   0.120942E+02   0.165942E+01   0.875063E+00   0.132256E+02   0.165766E+01   0.384724E-02   0.704147E-01    0.66985E+02   0.169841E+00   0.243194E+00   0.875063E+00
   0.174174E+00   0.327551E+01    0.14946E+01   0.316685E+00   0.112115E+02   0.166215E+01   0.980701E+00   0.132935E+02   0.166162E+01   0.254322E-02   0.605924E-01   0.704429E+02   0.174174E+00   0.233958E+00   0.980701E+00
   0.169301E+00   0.313566E+01   0.150886E+01   0.322139E+00   0.118506E+02   0.165631E+01   0.959939E+00   0.161299E+02     0.1656E+01   0.313711E-02   0.686598E-01   0.708889E+02   0.169301E+00   0.241185E+00   0.959939E+00
   0.184114E+00    0.39284E+01   0.149421E+01   0.341639E+00   0.117649E+02   0.159692E+01    0.94213E+00   0.113106E+02   0.169795E+01   0.795272E-02   0.330723E-01   0.667594E+02   0.184114E+00   0.252377E+00    0.94213E+00
   0.182555E+00   0.401387E+01   0.151401E+01   0.341572E+00   0.120248E+02    0.16335E+01   0.886213E+00   0.109866E+02   0.164069E+01   0.135651E-01   0.116717E-01   0.671172E+02   0.182555E+00   0.248645E+00   0.886213E+00
   0.177971E+00   0.382498E+01    0.15242E+01   0.340242E+00    0.13311E+02   0.172148E+01   0.922771E+00    0.12841E+02   0.172034E+01   0.542744E-02   0.708689E-01   0.653078E+02   0.177971E+00   0.243381E+00   0.922771E+00
   0.177826E+00   0.346606E+01   0.146481E+01   0.337417E+00   0.120518E+02   0.166235E+01   0.986073E+00   0.136699E+02   0.169707E+01   0.770988E-02   0.285995E-01   0.682418E+02   0.177826E+00    0.24363E+00   0.986073E+00
   0.175336E+00   0.338467E+01   0.148376E+01    0.33392E+00   0.113972E+02   0.162985E+01   0.986297E+00   0.100094E+02   0.170015E+01   0.157696E-02   0.473066E-01   0.661846E+02   0.175336E+00   0.245116E+00   0.986297E+00
   0.177223E+00   0.397702E+01    0.15406E+01   0.336496E+00    0.12371E+02   0.166656E+01   0.948824E+00   0.104781E+02   0.168592E+01   0.479998E-02   0.264714E-01   0.709193E+02   0.177223E+00   0.243873E+00   0.948824E+00
   0.178394E+00   0.384017E+01   0.154936E+01    0.33712E+00   0.130999E+02   0.169089E+01   0.895534E+00   0.898686E+01   0.165912E+01   0.979175E-02   0.566134E-01   0.638731E+02   0.178394E+00   0.247504E+00   0.895534E+00
   0.171832E+00   0.360857E+01     0.1545E+01   0.334278E+00   0.120598E+02   0.162898E+01   0.866967E+00   0.110397E+02   0.163192E+01   0.363435E-02   0.350124E-01   0.689613E+02   0.171832E+00   0.249219E+00   0.866967E+00
   0.180014E+00   0.348064E+01   0.148179E+01   0.321968E+00   0.110958E+02   0.165844E+01   0.892338E+00   0.165616E+02   0.172273E+01   0.494011E-02   0.427786E-01   0.670315E+02   0.180014E+00   0.235101E+00   0.892338E+00
   0.164358E+00   0.311898E+01   0.151273E+01   0.339408E+00   0.130734E+02    0.16455E+01   0.102602E+01   0.132967E+02   0.166915E+01   0.621875E-02   0.485756E-01   0.646967E+02   0.164358E+00   0.255074E+00   0.102602E+01
   0.182242E+00   0.404854E+01   0.152636E+01    0.34505E+00   0.132943E+02   0.167248E+01   0.889071E+00   0.173488E+02   0.166314E+01   0.667326E-02   0.439727E-01    0.68993E+02   0.182242E+00   0.251336E+00   0.889071E+00
   0.178576E+00   0.359161E+01   0.148747E+01   0.335567E+00   0.120729E+02   0.162893E+01   0.967334E+00   0.205726E+02   0.164868E+01   0.392249E-02   0.572748E-01   0.678458E+02   0.178576E+00   0.247973E+00   0.967334E+00
   0.182436E+00    0.40455E+01   0.152789E+01   0.340512E+00   0.134264E+02   0.167622E+01   0.876023E+00   0.142365E+02   0.167552E+01   0.448098E-02   0.515081E-01   0.690903E+02   0.182436E+00   0.249532E+00   0.876023E+00
   0.177977E+00   0.390793E+01   0.152239E+01   0.337327E+00   0.121083E+02   0.170116E+01   0.818023E+00   0.925765E+01   0.166138E+01   0.372666E-02   0.298835E-01   0.674813E+02   0.177977E+00   0.237908E+00   0.818023E+00
   0.176824E+00   0.374315E+01   0.151184E+01   0.334437E+00   0.124533E+02   0.170135E+01   0.854984E+00   0.896135E+01   0.166048E+01   0.545355E-02   0.467216E-01   0.695744E+02   0.176824E+00    0.23891E+00   0.854984E+00
   0.174529E+00   0.374037E+01   0.154367E+01   0.334141E+00   0.127085E+02   0.165472E+01   0.918221E+00   0.788492E+01   0.168431E+01   0.382769E-02   0.191919E-01   0.676458E+02   0.174529E+00   0.247935E+00   0.918221E+00
   0.176929E+00   0.342053E+01   0.146889E+01   0.335746E+00   0.126363E+02   0.169092E+01   0.877365E+00   0.184952E+02   0.165818E+01   0.856385E-02   0.285577E-01   0.679878E+02   0.176929E+00   0.242378E+00   0.877365E+00
   0.179227E+00   0.332438E+01   0.145224E+01   0.337188E+00   0.128304E+02   0.166298E+01    0.85948E+00   0.124452E+02   0.166719E+01   0.202943E-02   0.685239E-01   0.664862E+02   0.179227E+00   0.248593E+00    0.85948E+00
